,train_acc,train_auc,train_ll,test_acc,test_auc,test_ll,valid_acc,valid_auc,valid_ll,time
LogRer 10_l2_42_saga,0.9010239843367597,0.9010289225838426,0.24927350956532662,0.9008634361233481,0.900868400436682,0.250108572718209,0.9031439447342451,0.9031157032454891,0.24538641957432536,13.0
LogRer 100_l1_42_liblinear,0.9011179637787567,0.901122879678949,0.24937357761367396,0.9008986784140969,0.9009036315528038,0.25021632265458266,0.9031439447342451,0.9031157032454891,0.24522586507243652,27.0
LogRer 100_l1_42_saga,0.9011297112090063,0.9011346159322078,0.24930932879316975,0.9008281938325992,0.900833146964215,0.25015773464965796,0.9030029606654448,0.9029748978385614,0.2452869558141395,16.0
LogRer 100_l2_42_liblinear,0.9011062163485071,0.9011111310054984,0.2492524590402408,0.9008634361233481,0.9008683780803368,0.25011797849762846,0.9028619765966446,0.90283373465392,0.24533263320136647,4.0
LogRer 100_l2_42_saga,0.9011336270190896,0.9011385329847041,0.24927530467365075,0.9008281938325992,0.900833146964215,0.25012007085791454,0.9030029606654448,0.9029745400608477,0.2453382528985056,13.0
RandForest 3_10_42,0.9065139500734214,0.9064982241576612,0.37662670489573497,0.9055859030837005,0.9055703447471649,0.3784119386410276,0.9041308332158466,0.9041947210772894,0.37703655120772966,2.0
RandForest 3_100_42,0.9133666177190406,0.913354019896984,0.38388558112789556,0.9122466960352423,0.9122339888028295,0.3855332438631046,0.9154095587198646,0.9154587958537856,0.3835979260291338,16.0
RandForest 3_200_42,0.913910915320607,0.9138978517961152,0.3754591852988077,0.912352422907489,0.9123394138750514,0.3770948860079144,0.9163964472014662,0.9164480114794172,0.3736643180874242,33.0
RandForest 3_400_42,0.9135506607929516,0.9135369762226259,0.364459828261427,0.9122466960352423,0.9122330498363277,0.3660962494022175,0.9163964472014662,0.9164512314788416,0.3623017577209557,67.0
RandForest 3_600_42,0.9131081742535487,0.9130942399928516,0.36361068674684494,0.9121409691629956,0.9121270658554738,0.365249962053439,0.9158325109262654,0.9158876520734173,0.36092853386171986,95.0
RandForest 3_800_42,0.9133587860988742,0.9133452493095279,0.36640285693809,0.9124933920704846,0.9124799359253234,0.368033015514555,0.9154095587198646,0.915463804741779,0.3631208238560361,129.0
RandForest 3_1000_42,0.9131747430249633,0.9131610559327805,0.36359278393757594,0.9120704845814978,0.9120568495430283,0.3652306637506721,0.9159734949950655,0.9160284574803448,0.36046033440517683,149.0
RandForest 4_10_42,0.9124738130200686,0.9124582938790761,0.32145215693758805,0.910625550660793,0.910609959296746,0.324755925141813,0.9135767658254618,0.9136394166728549,0.32181343329670176,2.0
RandForest 4_100_42,0.9163504650024474,0.916338158113065,0.32314983915410095,0.9143612334801762,0.9143490183000894,0.32586530107588924,0.9196390807838715,0.9196890402827492,0.3196934290574563,18.0
RandForest 4_200_42,0.9167302985805188,0.9167175110679255,0.32437426787343054,0.9149603524229075,0.9149474330782179,0.32719128872050557,0.9204849851966728,0.9205367349460257,0.31946816151439983,36.0
RandForest 4_400_42,0.9167616250611845,0.916749031306735,0.3199271608843043,0.9153127753303965,0.9153002137226864,0.3226629805689086,0.920625969265473,0.9206761092420981,0.3166834487584528,72.0
RandForest 4_600_42,0.9166049926578561,0.9165920213138177,0.3204391395089649,0.9147488986784141,0.9147359569561064,0.32320420004803424,0.9200620329902721,0.9201132453921013,0.3166701883119887,107.0
RandForest 4_800_42,0.9167812041116006,0.9167685345959508,0.3192207264600608,0.915136563876652,0.9151239016476607,0.32196154476810895,0.9202030170590724,0.9202526196881736,0.3153479234481245,145.0
RandForest 4_1000_42,0.9164522760646109,0.9164393581120334,0.31780344975820024,0.9148546255506608,0.9148418067988886,0.32055317604762734,0.9203440011278725,0.9203952139836704,0.3142100449337047,176.0
RandForest 6_10_42,0.9201018110621635,0.9200890648753892,0.24083633941733631,0.9151013215859031,0.9150885363934672,0.24896023285672614,0.9211899055406739,0.9212343219818151,0.24057223218616225,2.0
RandForest 6_100_42,0.9224160548213411,0.9224042689482159,0.2542560827370267,0.9177797356828193,0.917767956795379,0.26203896579965175,0.9244325391230791,0.9244764241182886,0.24668790246932779,23.0
RandForest 6_200_42,0.9224278022515908,0.9224160995949324,0.25288801967808167,0.9176740088105727,0.9176623975850854,0.260591498750302,0.9264063160862822,0.9264498464815583,0.24968163984578634,45.0
RandForest 6_400_42,0.9225648556045032,0.9225530821665398,0.25117570443370546,0.917533039647577,0.9175215401896343,0.25892083057106896,0.9261243479486818,0.9261689512231307,0.2515121366471807,90.0
RandForest 6_600_42,0.9224512971120901,0.9224395249047214,0.25081244052992024,0.9176740088105727,0.9176624199414308,0.2585744605192989,0.9255604116734809,0.9256053718177063,0.25145710264887033,135.0
RandForest 6_800_42,0.922506118453255,0.9224943859960153,0.25149411915003045,0.9176387665198238,0.9176271664689636,0.2592568916729864,0.9254194276046807,0.9254638508553511,0.25214646709679545,180.0
